                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1222,                  3.075,                 1.5066,                0.00722,                0.90192,                0.39033,                0.27109,                 0.8919,                 2.9288,                 1.3585,              0.0001429,              0.0001429,              0.0001429
                      2,                 1.1154,                 2.4028,                 1.5001,                0.81097,                0.01515,                0.38612,                0.25625,                0.97311,                 2.6604,                 1.4372,             0.00028524,             0.00028524,             0.00028524
                      3,                 1.1454,                  2.057,                 1.4993,                0.69464,                0.26175,                0.49524,                0.31861,                 1.1355,                 2.4037,                 1.5565,             0.00041201,             0.00041201,             0.00041201
                      4,                 1.0334,                 1.6126,                 1.3944,                0.86589,                0.35118,                0.71282,                  0.469,                 1.0838,                 2.1792,                 1.4717,             0.00052322,             0.00052322,             0.00052322
                      5,                 1.0584,                 1.5557,                  1.382,                0.71132,                0.57312,                0.71461,                0.49046,                 1.0552,                 1.9413,                 1.4518,             0.00061887,             0.00061887,             0.00061887
                      6,                 1.0241,                  1.368,                 1.3359,                0.65924,                0.66603,                0.79206,                0.51979,                 1.1417,                 1.6691,                 1.4967,             0.00069896,             0.00069896,             0.00069896
                      7,                  1.009,                 1.3428,                 1.3316,                0.67243,                0.63283,                0.69149,                 0.4213,                 1.3479,                 1.7042,                 1.7299,             0.00076349,             0.00076349,             0.00076349
                      8,                 1.0173,                 1.3386,                  1.318,                0.75387,                0.69274,                0.75444,                0.47069,                  1.344,                 1.7455,                 1.7147,             0.00081245,             0.00081245,             0.00081245
                      9,                 1.0208,                 1.3033,                 1.3064,                0.74528,                0.72206,                0.82274,                0.54708,                 1.1011,                 1.8126,                 1.4762,             0.00084585,             0.00084585,             0.00084585
                     10,                0.97898,                 1.2808,                 1.3151,                0.86231,                0.61026,                0.78122,                0.49943,                 1.2654,                 1.9758,                 1.6498,             0.00079238,             0.00079238,             0.00079238
                     11,                0.94843,                 1.6258,                 1.3609,                0.62668,                0.53765,                0.60576,                0.36169,                 1.3993,                 2.1294,                 1.8556,             0.00072164,             0.00072164,             0.00072164
                     12,                0.92331,                 1.5906,                 1.3309,                0.71479,                0.70212,                 0.7681,                 0.4943,                 1.1882,                 1.5927,                 1.5514,             0.00065091,             0.00065091,             0.00065091
                     13,                 0.8677,                 1.5002,                 1.2963,                0.83923,                0.85392,                0.88809,                0.61801,                 1.1274,                 1.1207,                 1.4984,             0.00058017,             0.00058017,             0.00058017
                     14,                0.88112,                 1.3355,                 1.2794,                0.84893,                0.89471,                0.91263,                0.64744,                 1.0111,                 1.1758,                  1.365,             0.00050944,             0.00050944,             0.00050944
                     15,                0.81455,                 1.3551,                 1.2522,                0.81908,                0.80931,                0.87207,                0.61945,                 1.0274,                 1.1012,                 1.3841,              0.0004387,              0.0004387,              0.0004387
                     16,                0.81879,                 1.2668,                 1.2139,                0.90031,                0.79963,                0.90188,                0.65292,                0.98212,                 1.0772,                   1.36,             0.00036797,             0.00036797,             0.00036797
                     17,                0.73894,                  1.215,                 1.1915,                0.85617,                0.85653,                0.92366,                0.66359,                0.99942,                 1.0313,                 1.3549,             0.00029723,             0.00029723,             0.00029723
                     18,                0.75413,                 1.1655,                  1.186,                0.89916,                0.87714,                0.93556,                0.66584,                0.99605,                0.97446,                  1.341,              0.0002265,              0.0002265,              0.0002265
                     19,                0.74905,                 1.1437,                 1.1589,                0.90326,                0.88229,                 0.9325,                0.68225,                0.99856,                 0.9779,                 1.3328,             0.00015576,             0.00015576,             0.00015576
                     20,                0.75091,                 1.1735,                 1.1556,                0.86547,                0.91783,                0.93264,                0.67843,                0.98362,                 0.9643,                 1.3202,             8.5026e-05,             8.5026e-05,             8.5026e-05
